CRASH_NUMB,CITY_TOWN_NAME,CRASH_DATE,CRASH_TIME,CRASH_HOUR,MANR_COLL_DESCR,AMBNT_LIGHT_DESCR,WEATH_COND_DESCR,ROAD_SURF_COND_DESCR,STREET_NUMB,X,Y,LAT,LON,AGE_DRVR_YNGST,AGE_DRVR_OLDEST,CNTY_NAME,CRASH_SEVERITY_DESCR
4340949,FITCHBURG,2/17/2017,7:12 PM,07:00PM to 07:59PM,Angle,Dark - unknown roadway lighting,Clear,Dry,,175905.3403,925732.5304,42.58178621,-71.79351736,16-17,35-44,WORCESTER,Non-fatal injury
4420495,FALMOUTH,2/9/2017,12:00 PM,12:00PM to 12:59PM,Single vehicle crash,Daylight,Snow,Snow,130,269982.139,809457.4825,41.53221316,-70.6614515,45-54,45-54,BARNSTABLE,Non-fatal injury
4311158,WALTHAM,1/7/2017,10:20 PM,10:00PM to 10:59PM,Angle,Dark - lighted roadway,Snow,Snow,,221235.2501,903475.1874,42.38149254,-71.24214167,21-24,21-24,MIDDLESEX,Property damage only 
4467989,WAREHAM,12/11/2017,3:51 PM,03:00PM to 03:59PM,Rear-end,Daylight,Cloudy,Dry,290,270616.9444,837049.46,41.78056939,-70.65055076,25-34,65-74,PLYMOUTH,Property damage only 
4387577,SPRINGFIELD,6/30/2017,4:40 PM,04:00PM to 04:59PM,"Sideswipe, opposite direction",Daylight,Clear,Dry,,116787.9881,878032.2033,42.1482981,-72.50675957,18-20,65-74,HAMPDEN,Non-fatal injury
4361427,WORCESTER,3/29/2017,11:07 PM,11:00PM to 11:59PM,Rear-end,Dark - lighted roadway,Clear,Dry,86,176032.1003,893576.6842,42.29230391,-71.79063559,25-34,25-34,WORCESTER,Property damage only 
4444909,WARREN,10/19/2017,12:05 PM,12:00PM to 12:59PM,Single vehicle crash,Daylight,Clear,Dry,,143832.8607,879811.5478,42.16673006,-72.1797382,35-44,35-44,WORCESTER,Property damage only 
4358530,FALL RIVER,4/17/2017,9:45 PM,09:00PM to 09:59PM,Rear-end,Dark - lighted roadway,Clear,Dry,159,228103.575,827440.6856,41.6967289,-71.1623861,,,BRISTOL,Property damage only 
4364062,BARNSTABLE,5/10/2017,5:40 PM,05:00PM to 05:59PM,Single vehicle crash,Daylight,Clear,Dry,,,,,,55-64,55-64,BARNSTABLE,Non-fatal injury
4409676,MARSHFIELD,6/24/2017,10:35 AM,10:00AM to 10:59AM,Rear-end,Daylight,Rain/Cloudy,Wet,,264721.3752,871790.9373,42.09385821,-70.71763627,35-44,65-74,PLYMOUTH,Property damage only 
4441142,LYNN,10/16/2017,5:56 PM,05:00PM to 05:59PM,Angle,Dusk,Clear,Dry,,245140.5936,913238.3752,42.46836671,-70.95109214,18-20,55-64,ESSEX,Property damage only 
4366695,NEW BEDFORD,5/20/2017,12:44 PM,12:00PM to 12:59PM,Angle,Daylight,Clear,Dry,2926,246981.6456,827810.7709,41.69916142,-70.9355802,21-24,45-54,BRISTOL,Property damage only 
4411280,LYNN,7/31/2017,2:41 PM,02:00PM to 02:59PM,Rear-end,Daylight,Clear,Dry,162,244534.875,913684.4237,42.47241663,-70.95842638,25-34,35-44,ESSEX,Non-fatal injury
4447102,PEABODY,10/24/2017,3:05 PM,03:00PM to 03:59PM,Single vehicle crash,Daylight,Clear,Dry,300,244821.4795,922284.6057,42.54982869,-70.95427935,16-17,16-17,ESSEX,Property damage only 
4342366,CHELSEA,3/24/2017,7:15 PM,07:00PM to 07:59PM,"Sideswipe, opposite direction",Dark - lighted roadway,Clear,Dry,,238074.1877,904579.7501,42.39080041,-71.0375947,21-24,35-44,SUFFOLK,Property damage only 
4436183,LYNN,10/2/2017,11:52 AM,11:00AM to 11:59AM,"Sideswipe, same direction",Daylight,Clear,Dry,,246113.3127,912345.5624,42.46027968,-70.93934439,25-34,75-84,ESSEX,Property damage only 
4443993,CAMBRIDGE,10/24/2017,9:46 AM,09:00AM to 09:59AM,Angle,Daylight,Cloudy/Cloudy,Dry,,230038.8751,902784.9377,42.37499087,-71.13527244,55-64,65-74,MIDDLESEX,Property damage only 
4310028,WAKEFIELD,1/11/2017,6:45 AM,06:00AM to 06:59AM,Angle,Daylight,Cloudy,Wet,390,235305.8749,917080.6874,42.50347061,-71.07044664,55-64,55-64,MIDDLESEX,Non-fatal injury
4457477,NEWTON,11/17/2017,2:59 PM,02:00PM to 02:59PM,Angle,Daylight,Clear,Dry,,220349.1404,897472.0407,42.32747261,-71.25311137,,,MIDDLESEX,Non-fatal injury
4329627,NORTHAMPTON,1/24/2017,6:50 PM,06:00PM to 06:59PM,Rear-end,Dark - lighted roadway,"Sleet, hail (freezing rain or drizzle)",Slush,,106952.7786,897244.0251,42.320142,-72.62881342,18-20,35-44,HAMPSHIRE,Property damage only 
4423312,SPRINGFIELD,9/12/2017,2:34 PM,02:00PM to 02:59PM,Angle,Daylight,Clear,Dry,,112091.6796,876957.4377,42.13810737,-72.56340733,25-34,65-74,HAMPDEN,Property damage only 
4405593,NORTHAMPTON,7/16/2017,2:33 PM,02:00PM to 02:59PM,"Sideswipe, same direction",Daylight,Clear,Dry,391,107584.791,898797.5136,42.33420626,-72.62139495,25-34,35-44,HAMPSHIRE,Property damage only 
4398979,AMHERST,7/24/2017,8:32 AM,08:00AM to 08:59AM,Angle,Daylight,Rain,Wet,787,117622.7591,903375.4769,42.37653276,-72.50025355,16-17,25-34,HAMPSHIRE,Property damage only 
4363144,LEXINGTON,5/1/2017,5:00 PM,05:00PM to 05:59PM,Rear-end,Daylight,Cloudy,Dry,,,,,,45-54,55-64,MIDDLESEX,Property damage only 
4441948,WORCESTER,8/19/2017,12:55 AM,12:00AM to 12:59AM,Rear-end,Dark - lighted roadway,Clear,Dry,350,174617.7078,889205.5751,42.25290762,-71.80759045,25-34,25-34,WORCESTER,Property damage only 
4366694,NEW BEDFORD,5/20/2017,11:21 AM,11:00AM to 11:59AM,Angle,Daylight,Clear,Dry,,244819.6408,822628.8749,41.65263196,-70.96194545,25-34,55-64,BRISTOL,Property damage only 
4501354,WEST BROOKFIELD,12/30/2017,1:34 AM,01:00AM to 01:59AM,Single vehicle crash,Dark - roadway not lighted,Clear,Snow,,144728.8084,888285.6064,42.24308342,-72.16970035,35-44,35-44,WORCESTER,Property damage only 
4393644,STOUGHTON,2/1/2017,6:53 AM,06:00AM to 06:59AM,Angle,Daylight,Clear/Other,Ice,,232574.0584,874806.2236,42.12299799,-71.10606072,18-20,45-54,NORFOLK,Non-fatal injury
4352964,HOLDEN,4/12/2017,10:43 AM,10:00AM to 10:59AM,Rear-end,Daylight,Cloudy,Dry,,172903.4065,898114.0626,42.33304739,-71.82878951,25-34,65-74,WORCESTER,Property damage only 
4455463,NORTH ADAMS,11/16/2017,9:51 AM,09:00AM to 09:59AM,Angle,Daylight,Cloudy/Rain,Wet,,68226.38265,939325.9374,42.69334217,-73.10816558,45-54,>84,BERKSHIRE,Property damage only 
4494611,GARDNER,12/23/2017,8:28 AM,08:00AM to 08:59AM,Single vehicle crash,Daylight,"Rain/Sleet, hail (freezing rain or drizzle)",Ice,,159725.8898,927657.5184,42.59844579,-71.99073605,16-17,16-17,WORCESTER,Property damage only 
4431658,NEW BEDFORD,7/11/2017,6:17 PM,06:00PM to 06:59PM,Head-on,Daylight,Clear,Dry,,248804.6873,818432.6873,41.61461768,-70.91445361,18-20,18-20,BRISTOL,Non-fatal injury
4505618,ACTON,12/26/2017,4:35 PM,04:00PM to 04:59PM,Single vehicle crash,Dark - lighted roadway,Cloudy,Ice,428,206367.5871,917906.9164,42.51168093,-71.42251344,55-64,55-64,MIDDLESEX,Property damage only 
4452291,BARNSTABLE,11/7/2017,1:54 PM,01:00PM to 01:59PM,Angle,Daylight,Cloudy,Dry,,299725.1417,825896.396,41.67701547,-70.30233472,25-34,75-84,BARNSTABLE,Property damage only 
4447428,MALDEN,10/14/2017,11:18 PM,11:00PM to 11:59PM,Single vehicle crash,Dark - lighted roadway,Cloudy,"Sand, mud, dirt, oil, gravel",,236515.4063,908223.0623,42.42367128,-71.05629812,25-34,25-34,MIDDLESEX,Property damage only 
4400405,UXBRIDGE,7/1/2017,11:50 AM,11:00AM to 11:59AM,Rear-to-rear,Daylight,Clear,Dry,275,187626.1801,869554.3929,42.07629269,-71.64953666,35-44,55-64,WORCESTER,Property damage only 
4316506,BOXBOROUGH,1/12/2017,8:20 AM,08:00AM to 08:59AM,Rear-end,Daylight,Clear,Dry,,196310.6843,915098.4381,42.48641028,-71.54487021,18-20,45-54,MIDDLESEX,Non-fatal injury
4455943,EASTON,11/17/2017,12:24 PM,12:00PM to 12:59PM,Angle,Daylight,Clear,Dry,584,234622.323,866442.3631,42.04760803,-71.08178921,35-44,55-64,BRISTOL,Non-fatal injury
4344312,WORCESTER,1/9/2017,5:45 PM,05:00PM to 05:59PM,Rear-end,Dark - lighted roadway,Clear/Cloudy,Unknown,,175446.9529,889414.5697,42.25481571,-71.79755318,18-20,25-34,WORCESTER,Non-fatal injury
4346544,WORCESTER,2/12/2017,7:00 PM,07:00PM to 07:59PM,Rear-end,Dark - lighted roadway,Snow,Snow,197,175858.6608,892400.7181,42.28171121,-71.79268444,25-34,25-34,WORCESTER,Not Reported
4366361,NORTHBOROUGH,5/15/2017,1:25 AM,01:00AM to 01:59AM,Rear-end,Dark - roadway not lighted,Rain,Wet,,184822.4063,897963.6251,42.33201963,-71.68416347,25-34,65-74,WORCESTER,Non-fatal injury
4476233,SOMERSET,12/24/2017,8:53 PM,08:00PM to 08:59PM,Single vehicle crash,Dark - lighted roadway,Clear,Dry,2756,230067.9595,835523.9888,41.76945815,-71.13838099,25-34,25-34,BRISTOL,Property damage only 
4350459,METHUEN,4/7/2017,2:31 PM,02:00PM to 02:59PM,Single vehicle crash,Daylight,Cloudy/Cloudy,Dry,211,229984.3492,942800.7329,42.73522719,-71.13385306,75-84,75-84,ESSEX,Property damage only 
4444053,WORCESTER,8/14/2017,10:00 AM,10:00AM to 10:59AM,Single vehicle crash,Daylight,Clear,Dry,5,172553.1272,891533.0279,42.27378759,-71.8327248,,,WORCESTER,Property damage only 
4404071,LENOX,7/4/2017,8:44 AM,08:00AM to 08:59AM,Rear-end,Daylight,Clear,Dry,,54552.53124,907106.8127,42.4009171,-73.26684107,65-74,75-84,BERKSHIRE,Property damage only 
4439967,WOBURN,10/3/2017,12:30 PM,12:00PM to 12:59PM,Angle,Daylight,Clear,Dry,600,231661.3993,915070.7241,42.48553252,-71.11490361,21-24,21-24,MIDDLESEX,Property damage only 
4338472,BROCKTON,3/14/2017,1:03 PM,01:00PM to 01:59PM,Single vehicle crash,Daylight,Snow/Cloudy,Snow,670,242219.4581,867270.7649,42.05469946,-70.98996461,25-34,25-34,PLYMOUTH,Non-fatal injury
4399505,MALDEN,6/16/2017,4:45 PM,04:00PM to 04:59PM,Rear-end,Daylight,Rain,Wet,,237586.6721,908938.8751,42.43006614,-71.04322566,45-54,55-64,MIDDLESEX,Non-fatal injury
4330457,WAKEFIELD,2/16/2017,9:39 AM,09:00AM to 09:59AM,Rear-end,Daylight,Clear,Dry,,234809.7032,919636.8122,42.52650289,-71.0763267,25-34,45-54,MIDDLESEX,Property damage only 
4430445,HADLEY,5/22/2017,2:07 PM,02:00PM to 02:59PM,Angle,Daylight,Cloudy,Dry,,110259.9965,899660.0363,42.34227809,-72.58907271,18-20,25-34,HAMPSHIRE,Property damage only 
4452412,CHICOPEE,10/26/2017,2:30 AM,02:00AM to 02:59AM,Single vehicle crash,Dark - lighted roadway,Rain,Wet,,112147.2836,880116.3603,42.16655226,-72.56321839,45-54,45-54,HAMPDEN,Property damage only 
4680556,PEABODY,7/11/2017,2:37 PM,02:00PM to 02:59PM,Rear-end,Daylight,Clear,Dry,30,246654.1576,920740.3326,42.53581559,-70.9320855,21-24,25-34,ESSEX,Property damage only 
4465652,SWANSEA,12/9/2017,9:30 PM,09:00PM to 09:59PM,Single vehicle crash,Dark - roadway not lighted,"Cloudy/Sleet, hail (freezing rain or drizzle)",Wet,,220367.9953,835856.7951,41.77273983,-71.25502785,21-24,21-24,BRISTOL,Non-fatal injury
4415366,BOSTON,8/27/2017,9:41 PM,09:00PM to 09:59PM,"Sideswipe, same direction",Dark - roadway not lighted,Clear,Dry,,235430.0389,902414.6029,42.37190118,-71.0671029,18-20,45-54,SUFFOLK,Property damage only 
4406630,DENNIS,8/1/2017,3:15 PM,03:00PM to 03:59PM,Angle,Daylight,Clear,Dry,200,313456.7378,827409.4138,41.68878061,-70.13715387,25-34,25-34,BARNSTABLE,Property damage only 
4393544,STOUGHTON,6/15/2017,6:27 AM,06:00AM to 06:59AM,Angle,Daylight,Clear,Dry,,232476.9034,875074.5725,42.12542385,-71.10721881,55-64,55-64,NORFOLK,Property damage only 
4491310,STOUGHTON,12/23/2017,4:31 PM,04:00PM to 04:59PM,Angle,Dark - lighted roadway,"Sleet, hail (freezing rain or drizzle)",Ice,525,232927.1595,875771.0234,42.1316712,-71.10173723,35-44,35-44,NORFOLK,Property damage only 
4459307,PLAINVILLE,11/24/2017,12:53 AM,12:00AM to 12:59AM,Single vehicle crash,Dark - roadway not lighted,Clear,Dry,,218418.9213,864591.7373,42.0314999,-71.2775677,21-24,21-24,NORFOLK,Non-fatal injury
4484999,BARRE,7/1/2017,5:57 AM,05:00AM to 05:59AM,Single vehicle crash,Dawn,Clear,Dry,,,,,,45-54,45-54,WORCESTER,Property damage only 
4408449,NEWTON,3/2/2017,7:39 AM,07:00AM to 07:59AM,Angle,Daylight,Clear,Dry,,222608.0783,896307.6252,42.31692783,-71.22574822,55-64,55-64,MIDDLESEX,Non-fatal injury
4356774,WORCESTER,3/20/2017,3:12 PM,03:00PM to 03:59PM,Angle,Daylight,Clear/Clear,Dry,,173849.5154,890146.25,42.26134505,-71.81693966,25-34,45-54,WORCESTER,Property damage only 
4388817,CHELMSFORD,7/6/2017,3:40 AM,03:00AM to 03:59AM,Single vehicle crash,Dark - roadway not lighted,Clear,Dry,,209837.1759,926574.973,42.58967711,-71.3801541,55-64,55-64,MIDDLESEX,Property damage only 
4472342,HINGHAM,12/20/2017,7:31 AM,07:00AM to 07:59AM,Angle,Daylight,Clear,Dry,48,250465.276,880766.584,42.17571615,-70.88918267,45-54,55-64,PLYMOUTH,Property damage only 
4411821,BREWSTER,8/18/2017,11:18 AM,11:00AM to 11:59AM,Rear-end,Daylight,Cloudy,Dry,,319349.4062,836048.375,41.76568134,-70.06464605,18-20,21-24,BARNSTABLE,Property damage only 
4474618,BROOKLINE,12/22/2017,12:46 PM,12:00PM to 12:59PM,Angle,Daylight,Cloudy,Dry,,231576.5606,899528.116,42.34560894,-71.11677468,,,NORFOLK,Not Reported
4398995,WINCHENDON,7/13/2017,4:07 PM,04:00PM to 04:59PM,Angle,Daylight,Clear,Dry,,158810.6874,933707.1875,42.65285093,-72.00231908,18-20,55-64,WORCESTER,Property damage only 
4373337,WINTHROP,1/8/2017,2:21 PM,02:00PM to 02:59PM,Head-on,Daylight,Clear/Snow,Slush,401,242628.1316,903569.8314,42.38147228,-70.98236251,18-20,45-54,SUFFOLK,Property damage only 
4358551,FALL RIVER,4/27/2017,6:15 PM,06:00PM to 06:59PM,Angle,Daylight,Cloudy,Dry,,228057.7187,826100.6875,41.68466592,-71.16300229,25-34,45-54,BRISTOL,Property damage only 
4407331,MILFORD,8/4/2017,1:59 PM,01:00PM to 01:59PM,Rear-end,Daylight,Clear,Dry,75,198111.7972,878110.6146,42.15342839,-71.52284372,35-44,75-84,WORCESTER,Property damage only 
4481855,DUNSTABLE,11/14/2017,6:32 PM,06:00PM to 06:59PM,Single vehicle crash,Dark - roadway not lighted,Clear,Dry,,,,,,35-44,35-44,MIDDLESEX,Property damage only 
4487916,BROOKFIELD,12/5/2017,3:51 PM,03:00PM to 03:59PM,Angle,Dusk,Rain/Cloudy,Wet,,151628.3539,884709.5068,42.21134218,-72.08580837,25-34,45-54,WORCESTER,Property damage only 
4472163,WAYLAND,10/22/2017,1:27 PM,01:00PM to 01:59PM,Rear-end,Daylight,Clear,Dry,,211522.906,901395.7501,42.36297971,-71.36011638,35-44,45-54,MIDDLESEX,Property damage only 
